Number of process, Data Set Type, Overall Time
1,tst,5.329146862030029
2,tst,4.881376028060913
4,tst,4.265334129333496
7,tst,4.096367120742798
1,sml,44.44416809082031
2,sml,30.673638820648193
4,sml,19.928149938583374
7,sml,17.659512996673584
1,bg,303.0748929977417
2,bg,216.1913092136383
4,bg,145.76556086540222
7,bg,137.95298981666565
1,sml,44.24012327194214
2,sml,29.111608028411865
4,sml,21.111713886260986
7,sml,16.685451984405518
1,bg,301.66150188446045
2,bg,221.96653485298157
4,bg,682.738049030304
7,bg,1113.4682171344757
1,sml,53.78390312194824
2,sml,39.45962715148926
4,sml,25.361338138580322
7,sml,16.82917094230652
1,bg,296.1957252025604
2,bg,208.9319610595703
4,bg,127.84315586090088
7,bg,1072.9754629135132
1,sml,43.470088958740234
2,sml,27.734327793121338
7,sml,15.451470136642456
1,bg,298.150190114975
2,bg,207.561870098114
4,bg,140.93468594551086
7,bg,110.12010288238525
1,sml,44.694397926330566
2,sml,29.141072273254395
4,sml,20.041616916656494
7,sml,15.753297090530396
1,bg,299.3973820209503
2,bg,211.8123803138733
4,bg,143.51537823677063
7,bg,118.36615490913391
